id;model;optimizer;learning_rate;l2;batch_size;n_epochs;cv_score
1;"Sequential(
  (0): Linear(in_features=12, out_features=10, bias=True)
  (sigmoid1): Sigmoid()
  (output): Linear(in_features=10, out_features=1, bias=True)
)";Adadelta;0.1;0.1;10;100;0.14021464
2;"Sequential(
  (0): Linear(in_features=12, out_features=8, bias=True)
  (output): Linear(in_features=8, out_features=1, bias=True)
)";ASGD;0.0001;0.1;5;75;2.74589
3;"Sequential(
  (0): Linear(in_features=12, out_features=2, bias=True)
  (relu1): ReLU()
  (output): Linear(in_features=2, out_features=1, bias=True)
)";RMSprop;0.0001;0.1;25;100;3.0011425
4;"Sequential(
  (0): Linear(in_features=12, out_features=1, bias=True)
  (relu1): ReLU()
  (output): Linear(in_features=1, out_features=1, bias=True)
)";Adadelta;0.1;0.1;20;75;1.9815218
5;"Sequential(
  (0): Linear(in_features=12, out_features=8, bias=True)
  (output): Linear(in_features=8, out_features=1, bias=True)
)";Adam;0.0001;0.01;10;500;0.13919349
6;"Sequential(
  (0): Linear(in_features=12, out_features=6, bias=True)
  (output): Linear(in_features=6, out_features=1, bias=True)
)";SGD;0.001;0.001;5;250;0.14028451
7;"Sequential(
  (0): Linear(in_features=12, out_features=7, bias=True)
  (output): Linear(in_features=7, out_features=1, bias=True)
)";Adadelta;0.1;0.01;25;50;1.5748205
8;"Sequential(
  (0): Linear(in_features=12, out_features=6, bias=True)
  (sigmoid1): Sigmoid()
  (output): Linear(in_features=6, out_features=1, bias=True)
)";Adadelta;0.001;0.01;25;100;3.3125508
9;"Sequential(
  (0): Linear(in_features=12, out_features=1, bias=True)
  (relu1): ReLU()
  (output): Linear(in_features=1, out_features=1, bias=True)
)";ASGD;0.1;0.0001;20;50;0.1476464
10;"Sequential(
  (0): Linear(in_features=12, out_features=1, bias=True)
  (linear): Linear(in_features=1, out_features=4, bias=True)
  (output): Linear(in_features=4, out_features=1, bias=True)
)";Adadelta;0.001;0.0001;10;75;3.112824
11;"Sequential(
  (0): Linear(in_features=12, out_features=8, bias=True)
  (linear): Linear(in_features=8, out_features=5, bias=True)
  (output): Linear(in_features=5, out_features=1, bias=True)
)";SGD;0.0001;0.0001;15;1000;0.15119466
12;"Sequential(
  (0): Linear(in_features=12, out_features=9, bias=True)
  (relu1): ReLU()
  (output): Linear(in_features=9, out_features=1, bias=True)
)";RMSprop;0.1;0.0001;10;250;0.21497734
13;"Sequential(
  (0): Linear(in_features=12, out_features=9, bias=True)
  (sigmoid1): Sigmoid()
  (output): Linear(in_features=9, out_features=1, bias=True)
)";Adam;0.01;0.0001;10;250;0.19276685
14;"Sequential(
  (0): Linear(in_features=12, out_features=6, bias=True)
  (linear): Linear(in_features=6, out_features=8, bias=True)
  (output): Linear(in_features=8, out_features=1, bias=True)
)";Adadelta;0.001;0.0;25;50;3.371347
15;"Sequential(
  (0): Linear(in_features=12, out_features=5, bias=True)
  (output): Linear(in_features=5, out_features=1, bias=True)
)";RMSprop;0.0001;0.0;25;100;2.9584603
16;"Sequential(
  (0): Linear(in_features=12, out_features=4, bias=True)
  (relu1): ReLU()
  (output): Linear(in_features=4, out_features=1, bias=True)
)";SGD;0.01;0.1;15;50;0.15480182
17;"Sequential(
  (0): Linear(in_features=12, out_features=9, bias=True)
  (linear): Linear(in_features=9, out_features=3, bias=True)
  (output): Linear(in_features=3, out_features=1, bias=True)
)";Adadelta;0.01;0.001;15;75;2.6370485
18;"Sequential(
  (0): Linear(in_features=12, out_features=2, bias=True)
  (sigmoid1): Sigmoid()
  (output): Linear(in_features=2, out_features=1, bias=True)
)";SGD;0.001;0.0001;20;75;1.7188323
19;"Sequential(
  (0): Linear(in_features=12, out_features=10, bias=True)
  (output): Linear(in_features=10, out_features=1, bias=True)
)";SGD;0.0001;0.1;10;25;3.205772
20;"Sequential(
  (0): Linear(in_features=12, out_features=9, bias=True)
  (linear): Linear(in_features=9, out_features=7, bias=True)
  (relu2): ReLU()
  (output): Linear(in_features=7, out_features=1, bias=True)
)";SGD;0.1;0.0;20;500;0.17589724
21;"Sequential(
  (0): Linear(in_features=12, out_features=10, bias=True)
  (linear): Linear(in_features=10, out_features=6, bias=True)
  (sigmoid2): Sigmoid()
  (output): Linear(in_features=6, out_features=1, bias=True)
)";Adam;0.01;0.0;20;50;0.1564672
22;"Sequential(
  (0): Linear(in_features=12, out_features=2, bias=True)
  (sigmoid1): Sigmoid()
  (output): Linear(in_features=2, out_features=1, bias=True)
)";Adadelta;0.001;0.1;15;75;3.6034703
23;"Sequential(
  (0): Linear(in_features=12, out_features=9, bias=True)
  (linear): Linear(in_features=9, out_features=1, bias=True)
  (relu2): ReLU()
  (output): Linear(in_features=1, out_features=1, bias=True)
)";Adam;0.1;0.0001;5;1000;0.14858726
24;"Sequential(
  (0): Linear(in_features=12, out_features=1, bias=True)
  (relu1): ReLU()
  (output): Linear(in_features=1, out_features=1, bias=True)
)";Adadelta;0.1;0.0;25;100;1.4195064
25;"Sequential(
  (0): Linear(in_features=12, out_features=5, bias=True)
  (sigmoid1): Sigmoid()
  (output): Linear(in_features=5, out_features=1, bias=True)
)";RMSprop;0.1;0.1;20;25;0.3459111
26;"Sequential(
  (0): Linear(in_features=12, out_features=6, bias=True)
  (output): Linear(in_features=6, out_features=1, bias=True)
)";SGD;0.001;0.001;10;25;1.9727249
