INFO:IP-SML,GeneticAlgorithm,1:GPOL,1,0,0,3,tensor(1.1308),tensor(1.0695, dtype=torch.float64),213.91455078125,2416.705810546875,[sub, tensor(4.3934), 5]
INFO:IP-SML,GeneticAlgorithm,1:GPOL,1,1,0.1608288288116455,5,tensor(0.5321),tensor(0.5201, dtype=torch.float64),5.215620517730713,10.454050064086914,[add, tensor(4.4174), div, 5, 5]
INFO:IP-SML,GeneticAlgorithm,1:GPOL,1,2,0.19243335723876953,9,tensor(0.4963),tensor(0.5405, dtype=torch.float64),4.00896692276001,11.30998706817627,[add, tensor(4.4174), div, 5, add, tensor(4.4174), add, tensor(1.3668), 10]
INFO:IP-SML,GeneticAlgorithm,1:GPOL,1,3,0.1657543182373047,1,tensor(0.4763),tensor(0.4877, dtype=torch.float64),11.978471755981445,44.02058792114258,[tensor(4.4174)]
INFO:IP-SML,GeneticAlgorithm,1:GPOL,1,4,0.15194487571716309,11,tensor(0.0687),tensor(0.0715, dtype=torch.float64),4.897365665041613e+17,2.0727253785263473e+18,[add, tensor(4.4174), div, tensor(4.4174), add, tensor(4.4174), add, tensor(4.4174), div, 5, 5]
INFO:IP-SML,GeneticAlgorithm,1:GPOL,1,5,0.1423041820526123,11,tensor(0.0687),tensor(0.0715, dtype=torch.float64),1.7315374612808228,5.171870231628418,[add, tensor(4.4174), div, tensor(4.4174), add, tensor(4.4174), add, tensor(4.4174), div, 5, 5]
INFO:IP-SML,GeneticAlgorithm,1:GPOL,1,6,0.1562957763671875,11,tensor(0.0687),tensor(0.0715, dtype=torch.float64),1.30596417734443e+18,3.2227015663602893e+18,[add, tensor(4.4174), div, tensor(4.4174), add, tensor(4.4174), add, tensor(4.4174), div, 5, 5]
INFO:IP-SML,GeneticAlgorithm,1:GPOL,1,7,0.1673877239227295,11,tensor(0.0687),tensor(0.0715, dtype=torch.float64),2.407871366079447e+18,4.0600228267431035e+18,[add, tensor(4.4174), div, tensor(4.4174), add, tensor(4.4174), add, tensor(4.4174), div, 5, 5]
INFO:IP-SML,GeneticAlgorithm,1:GPOL,1,8,0.16747570037841797,11,tensor(0.0687),tensor(0.0715, dtype=torch.float64),3.305721841082958e+18,4.432724558088241e+18,[add, tensor(4.4174), div, tensor(4.4174), add, tensor(4.4174), add, tensor(4.4174), div, 5, 5]
INFO:IP-SML,GeneticAlgorithm,1:GPOL,1,9,0.16354703903198242,11,tensor(0.0687),tensor(0.0715, dtype=torch.float64),3.1016648524735447e+18,4.3671356658344264e+18,[add, tensor(4.4174), div, tensor(4.4174), add, tensor(4.4174), add, tensor(4.4174), div, 5, 5]
INFO:IP-SML,GeneticAlgorithm,1:GPOL,1,10,0.17720365524291992,11,tensor(0.0687),tensor(0.0715, dtype=torch.float64),3.264910443361075e+18,4.4204416388164485e+18,[add, tensor(4.4174), div, tensor(4.4174), add, tensor(4.4174), add, tensor(4.4174), div, 5, 5]
INFO:IP-SML,GeneticAlgorithm,1:GPOL,1,11,0.15568065643310547,11,tensor(0.0687),tensor(0.0715, dtype=torch.float64),2.938419536463921e+18,4.3069602190799667e+18,[add, tensor(4.4174), div, tensor(4.4174), add, tensor(4.4174), add, tensor(4.4174), div, 5, 5]
INFO:IP-SML,GeneticAlgorithm,1:GPOL,1,12,0.15273284912109375,11,tensor(0.0687),tensor(0.0715, dtype=torch.float64),3.3465332388048404e+18,4.4445973595228733e+18,[add, tensor(4.4174), div, tensor(4.4174), add, tensor(4.4174), add, tensor(4.4174), div, 5, 5]
INFO:IP-SML,GeneticAlgorithm,1:GPOL,1,13,0.16269898414611816,11,tensor(0.0687),tensor(0.0715, dtype=torch.float64),2.979230659307897e+18,4.3226631692699566e+18,[add, tensor(4.4174), div, tensor(4.4174), add, tensor(4.4174), add, tensor(4.4174), div, 5, 5]
INFO:IP-SML,GeneticAlgorithm,1:GPOL,1,14,0.16147303581237793,11,tensor(0.0687),tensor(0.0715, dtype=torch.float64),3.4689674319704883e+18,4.477785293373571e+18,[add, tensor(4.4174), div, tensor(4.4174), add, tensor(4.4174), add, tensor(4.4174), div, 5, 5]
INFO:IP-SML,GeneticAlgorithm,1:GPOL,1,15,0.18320512771606445,11,tensor(0.0687),tensor(0.0715, dtype=torch.float64),3.1016648524735447e+18,4.3671356658344264e+18,[add, tensor(4.4174), div, tensor(4.4174), add, tensor(4.4174), add, tensor(4.4174), div, 5, 5]
