id;model;optimizer;learning_rate;l2;batch_size;n_epochs;cv_score
0;"Sequential(
  (0): Linear(in_features=12, out_features=7, bias=True)
  (sigmoid1): Sigmoid()
  (output): Linear(in_features=7, out_features=1, bias=True)
)";RMSprop;0.1;0.001;20;250;0.03628826485946775
1;"Sequential(
  (0): Linear(in_features=12, out_features=10, bias=True)
  (linear): Linear(in_features=10, out_features=4, bias=True)
  (sigmoid2): Sigmoid()
  (output): Linear(in_features=4, out_features=1, bias=True)
)";ASGD;0.0001;0.0001;15;250;1.6686509370803833
2;"Sequential(
  (0): Linear(in_features=12, out_features=3, bias=True)
  (relu1): ReLU()
  (output): Linear(in_features=3, out_features=1, bias=True)
)";Adadelta;0.01;0.01;25;50;19.427281188964844
3;"Sequential(
  (0): Linear(in_features=12, out_features=6, bias=True)
  (linear): Linear(in_features=6, out_features=10, bias=True)
  (relu2): ReLU()
  (output): Linear(in_features=10, out_features=1, bias=True)
)";Adadelta;0.1;0.01;20;1000;0.004339200956746936
4;"Sequential(
  (0): Linear(in_features=12, out_features=9, bias=True)
  (relu1): ReLU()
  (output): Linear(in_features=9, out_features=1, bias=True)
)";ASGD;0.0001;0.1;5;250;0.19191839694976806
5;"Sequential(
  (0): Linear(in_features=12, out_features=2, bias=True)
  (output): Linear(in_features=2, out_features=1, bias=True)
)";RMSprop;0.001;0.0;15;500;0.004018446803092957
6;"Sequential(
  (0): Linear(in_features=12, out_features=6, bias=True)
  (output): Linear(in_features=6, out_features=1, bias=True)
)";Adadelta;0.01;0.0001;5;50;20.516328811645508
7;"Sequential(
  (0): Linear(in_features=12, out_features=9, bias=True)
  (output): Linear(in_features=9, out_features=1, bias=True)
)";Adadelta;0.01;0.001;15;1000;0.00471565960906446
8;"Sequential(
  (0): Linear(in_features=12, out_features=10, bias=True)
  (sigmoid1): Sigmoid()
  (output): Linear(in_features=10, out_features=1, bias=True)
)";Adam;0.001;0.001;15;250;0.0037902609910815954
9;"Sequential(
  (0): Linear(in_features=12, out_features=2, bias=True)
  (output): Linear(in_features=2, out_features=1, bias=True)
)";RMSprop;0.0001;0.001;5;1000;0.0035363194532692433
10;"Sequential(
  (0): Linear(in_features=12, out_features=5, bias=True)
  (output): Linear(in_features=5, out_features=1, bias=True)
)";Adadelta;0.1;0.001;25;500;0.003582836827263236
11;"Sequential(
  (0): Linear(in_features=12, out_features=2, bias=True)
  (linear): Linear(in_features=2, out_features=6, bias=True)
  (sigmoid2): Sigmoid()
  (output): Linear(in_features=6, out_features=1, bias=True)
)";RMSprop;0.01;0.0;15;100;0.007207391317933798
12;"Sequential(
  (0): Linear(in_features=12, out_features=2, bias=True)
  (sigmoid1): Sigmoid()
  (output): Linear(in_features=2, out_features=1, bias=True)
)";RMSprop;0.1;0.1;15;50;0.02849734276533127
13;"Sequential(
  (0): Linear(in_features=12, out_features=1, bias=True)
  (linear): Linear(in_features=1, out_features=10, bias=True)
  (output): Linear(in_features=10, out_features=1, bias=True)
)";Adam;0.0001;0.0001;10;100;13.562582206726074
14;"Sequential(
  (0): Linear(in_features=12, out_features=2, bias=True)
  (relu1): ReLU()
  (output): Linear(in_features=2, out_features=1, bias=True)
)";Adam;0.0001;0.1;25;50;22.090339279174806
15;"Sequential(
  (0): Linear(in_features=12, out_features=2, bias=True)
  (relu1): ReLU()
  (output): Linear(in_features=2, out_features=1, bias=True)
)";Adadelta;0.0001;0.0;10;1000;24.248891067504882
