INFO:IP-SML,GeneticAlgorithm,1:GPOL,1,0,0,7,tensor(0.9331),tensor(0.9793, dtype=torch.float64)
INFO:IP-SML,GeneticAlgorithm,1:GPOL,1,1,0.18013763427734375,11,tensor(0.6298),tensor(0.6498, dtype=torch.float64)
INFO:IP-SML,GeneticAlgorithm,1:GPOL,1,2,0.26398205757141113,13,tensor(0.5464),tensor(0.6717, dtype=torch.float64)
INFO:IP-SML,GeneticAlgorithm,1:GPOL,1,3,0.21292614936828613,19,tensor(0.5298),tensor(0.6359, dtype=torch.float64)
INFO:IP-SML,GeneticAlgorithm,1:GPOL,1,4,0.266796350479126,19,tensor(0.5298),tensor(0.6359, dtype=torch.float64)
INFO:IP-SML,GeneticAlgorithm,1:GPOL,1,5,0.20768332481384277,21,tensor(0.5289),tensor(0.6313, dtype=torch.float64)
INFO:IP-SML,GeneticAlgorithm,1:GPOL,1,6,0.2106318473815918,21,tensor(0.5289),tensor(0.6313, dtype=torch.float64)
INFO:IP-SML,GeneticAlgorithm,1:GPOL,1,7,0.2698843479156494,21,tensor(0.5289),tensor(0.6313, dtype=torch.float64)
INFO:IP-SML,GeneticAlgorithm,1:GPOL,1,8,0.20705699920654297,21,tensor(0.5289),tensor(0.6313, dtype=torch.float64)
INFO:IP-SML,GeneticAlgorithm,1:GPOL,1,9,0.20635151863098145,21,tensor(0.5289),tensor(0.6313, dtype=torch.float64)
INFO:IP-SML,GeneticAlgorithm,1:GPOL,1,10,0.20542430877685547,21,tensor(0.5289),tensor(0.6313, dtype=torch.float64)
INFO:IP-SML,GeneticAlgorithm,1:GPOL,1,11,0.19659042358398438,21,tensor(0.5289),tensor(0.6313, dtype=torch.float64)
INFO:IP-SML,GeneticAlgorithm,1:GPOL,1,12,0.1922168731689453,21,tensor(0.5289),tensor(0.6313, dtype=torch.float64)
INFO:IP-SML,GeneticAlgorithm,1:GPOL,1,13,0.2623891830444336,21,tensor(0.5289),tensor(0.6313, dtype=torch.float64)
INFO:IP-SML,GeneticAlgorithm,1:GPOL,1,14,0.2623453140258789,21,tensor(0.5289),tensor(0.6313, dtype=torch.float64)
INFO:IP-SML,GeneticAlgorithm,1:GPOL,1,15,0.21837210655212402,21,tensor(0.5289),tensor(0.6313, dtype=torch.float64)
INFO:IP-SML,GeneticAlgorithm,1:GPOL,1,16,0.19317126274108887,21,tensor(0.5289),tensor(0.6313, dtype=torch.float64)
INFO:IP-SML,GeneticAlgorithm,1:GPOL,1,17,0.2043459415435791,21,tensor(0.5289),tensor(0.6313, dtype=torch.float64)
INFO:IP-SML,GeneticAlgorithm,1:GPOL,1,18,0.19540858268737793,21,tensor(0.5289),tensor(0.6313, dtype=torch.float64)
INFO:IP-SML,GeneticAlgorithm,1:GPOL,1,19,0.20447874069213867,21,tensor(0.5289),tensor(0.6313, dtype=torch.float64)
INFO:IP-SML,GeneticAlgorithm,1:GPOL,1,20,0.20642375946044922,21,tensor(0.5289),tensor(0.6313, dtype=torch.float64)
INFO:IP-SML,GeneticAlgorithm,1:GPOL,1,21,0.1922299861907959,21,tensor(0.5289),tensor(0.6313, dtype=torch.float64)
INFO:IP-SML,GeneticAlgorithm,1:GPOL,1,22,0.19547247886657715,21,tensor(0.5289),tensor(0.6313, dtype=torch.float64)
INFO:IP-SML,GeneticAlgorithm,1:GPOL,1,23,0.2637150287628174,21,tensor(0.5289),tensor(0.6313, dtype=torch.float64)
INFO:IP-SML,GeneticAlgorithm,1:GPOL,1,24,0.18545937538146973,21,tensor(0.5289),tensor(0.6313, dtype=torch.float64)
INFO:IP-SML,GeneticAlgorithm,1:GPOL,1,25,0.20087695121765137,21,tensor(0.5289),tensor(0.6313, dtype=torch.float64)
INFO:IP-SML,GeneticAlgorithm,1:GPOL,1,26,0.18592333793640137,19,tensor(0.5223),tensor(0.6161, dtype=torch.float64)
INFO:IP-SML,GeneticAlgorithm,1:GPOL,1,27,0.19066357612609863,19,tensor(0.5223),tensor(0.6161, dtype=torch.float64)
INFO:IP-SML,GeneticAlgorithm,1:GPOL,1,28,0.20361614227294922,19,tensor(0.5223),tensor(0.6161, dtype=torch.float64)
INFO:IP-SML,GeneticAlgorithm,1:GPOL,1,29,0.21709632873535156,19,tensor(0.5223),tensor(0.6161, dtype=torch.float64)
INFO:IP-SML,GeneticAlgorithm,1:GPOL,1,30,0.20386171340942383,19,tensor(0.5204),tensor(0.6165, dtype=torch.float64)
INFO:IP-SML,GeneticAlgorithm,1:GPOL,1,31,0.26534605026245117,21,tensor(0.5202),tensor(0.6161, dtype=torch.float64)
