id;model;optimizer;learning_rate;l2;batch_size;n_epochs;cv_score
1;"Sequential(
  (0): Linear(in_features=12, out_features=10, bias=True)
  (sigmoid1): Sigmoid()
  (output): Linear(in_features=10, out_features=1, bias=True)
)";Adadelta;0.1;0.1;10;100;0.511637
2;"Sequential(
  (0): Linear(in_features=12, out_features=8, bias=True)
  (output): Linear(in_features=8, out_features=1, bias=True)
)";ASGD;0.0001;0.1;5;75;3.1778703
3;"Sequential(
  (0): Linear(in_features=12, out_features=2, bias=True)
  (relu1): ReLU()
  (output): Linear(in_features=2, out_features=1, bias=True)
)";RMSprop;0.0001;0.1;25;100;3.4316826
4;"Sequential(
  (0): Linear(in_features=12, out_features=1, bias=True)
  (relu1): ReLU()
  (output): Linear(in_features=1, out_features=1, bias=True)
)";Adadelta;0.1;0.1;20;75;2.4103622
5;"Sequential(
  (0): Linear(in_features=12, out_features=8, bias=True)
  (output): Linear(in_features=8, out_features=1, bias=True)
)";Adam;0.0001;0.01;10;500;0.5055115
6;"Sequential(
  (0): Linear(in_features=12, out_features=6, bias=True)
  (output): Linear(in_features=6, out_features=1, bias=True)
)";SGD;0.001;0.001;5;250;0.5040277
7;"Sequential(
  (0): Linear(in_features=12, out_features=7, bias=True)
  (output): Linear(in_features=7, out_features=1, bias=True)
)";Adadelta;0.1;0.01;25;50;2.038595
8;"Sequential(
  (0): Linear(in_features=12, out_features=6, bias=True)
  (sigmoid1): Sigmoid()
  (output): Linear(in_features=6, out_features=1, bias=True)
)";Adadelta;0.001;0.01;25;100;3.742307
9;"Sequential(
  (0): Linear(in_features=12, out_features=1, bias=True)
  (relu1): ReLU()
  (output): Linear(in_features=1, out_features=1, bias=True)
)";ASGD;0.1;0.0001;20;50;0.5305125
10;"Sequential(
  (0): Linear(in_features=12, out_features=1, bias=True)
  (linear): Linear(in_features=1, out_features=4, bias=True)
  (output): Linear(in_features=4, out_features=1, bias=True)
)";Adadelta;0.001;0.0001;10;75;3.5417035
11;"Sequential(
  (0): Linear(in_features=12, out_features=8, bias=True)
  (linear): Linear(in_features=8, out_features=5, bias=True)
  (output): Linear(in_features=5, out_features=1, bias=True)
)";SGD;0.0001;0.0001;15;1000;0.5229252
12;"Sequential(
  (0): Linear(in_features=12, out_features=9, bias=True)
  (relu1): ReLU()
  (output): Linear(in_features=9, out_features=1, bias=True)
)";RMSprop;0.1;0.0001;10;250;0.5850279
13;"Sequential(
  (0): Linear(in_features=12, out_features=9, bias=True)
  (sigmoid1): Sigmoid()
  (output): Linear(in_features=9, out_features=1, bias=True)
)";Adam;0.01;0.0001;10;250;0.6378232
14;"Sequential(
  (0): Linear(in_features=12, out_features=6, bias=True)
  (linear): Linear(in_features=6, out_features=8, bias=True)
  (output): Linear(in_features=8, out_features=1, bias=True)
)";Adadelta;0.001;0.0;25;50;3.7994704
15;"Sequential(
  (0): Linear(in_features=12, out_features=5, bias=True)
  (output): Linear(in_features=5, out_features=1, bias=True)
)";RMSprop;0.0001;0.0;25;100;3.3881059
16;"Sequential(
  (0): Linear(in_features=12, out_features=4, bias=True)
  (relu1): ReLU()
  (output): Linear(in_features=4, out_features=1, bias=True)
)";SGD;0.01;0.1;15;50;0.5390099
